city,num_places,num_query_positive_pairs,num_zero_overlap_pairs,zero_overlap_percentage,weighted_mean_overlap,num_places_with_zero_mean_overlap
amman,835,3520,2089,59.34659090909091,0.07525611218372964,419
amsterdam,1873,14366,5082,35.37519142419602,0.11334905962980424,328
austin,14182,443861,142749,32.16074401670793,0.1947496850206263,1840
bangkok,39895,812591,374401,46.0749626811028,0.08649937293124542,9309
berlin,27715,218450,101554,46.48844129091325,0.07932774509107705,5917
boston,6485,127059,51422,40.47096230884865,0.10799264969387232,911
budapest,45721,983708,464213,47.19012145880688,0.0927363753726745,5883
goa,5362,21967,4508,20.52169162835162,0.17659474085598234,566
helsinki,14169,226758,130121,57.3832014746999,0.06922506889984567,3214
london,2655,19711,6026,30.57176196032672,0.10766394290955526,353
manila,5370,30763,8880,28.86584533368007,0.12068091303146317,517
melbourne,88031,1903782,447828,23.52307144410442,0.17043414423733072,10503
moscow,77050,1900506,597819,31.45578072365991,0.12281787066062591,11696
nairobi,415,1725,158,9.159420289855072,0.18943471113347818,10
ottawa,51594,405051,196129,48.42081614413988,0.09701858927051103,15280
paris,8347,145328,45317,31.182566332709456,0.12426782586514651,1224
phoenix,50152,652468,213555,32.73034079832268,0.15920892619955213,6651
saopaulo,18967,188036,93626,49.79152928162692,0.09186949580742715,5419
tokyo,25677,388157,113767,29.309531967734706,0.1504530990789055,3053
toronto,7227,44426,12052,27.128258227164274,0.11403192658041646,1180
trondheim,4105,37196,12892,34.65964082159372,0.12220770376429158,681
zurich,1734,9515,3338,35.08145034156595,0.1082666116905595,371
